cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack,source
60,Hoplite,0,1,3a,4d,12h,1f,2,cradle:ADVANCE_BRONZE_WORKING,ICON_UNIT_HOPLITE,SPRITE_HOPLITE,SOUND_SELECT1_HOPLITE,SOUND_MOVE_HOPLITE,SOUND_ATTACK_HOPLITE,cradle
61,Elite Hoplite,0,2,4a,5d,14h,1f,2,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HOPLITE_ELITE,SPRITE_HOPLITE_ELITE,SOUND_SELECT1_HOPLITE_ELITE,SOUND_MOVE_HOPLITE_ELITE,SOUND_ATTACK_HOPLITE_ELITE,cradle
62,Hoplite Militia,0,1,3a,4d,40h,1f,2,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HOPLITE_MILITIA,SPRITE_HOPLITE,SOUND_SELECT1_HOPLITE_MILITIA,SOUND_MOVE_HOPLITE_MILITIA,SOUND_ATTACK_HOPLITE_MILITIA,cradle
63,Horseman,0,3,5a,3d,12h,1f,6,cradle:ADVANCE_HORSE_ARMOR,ICON_UNIT_HORSEMAN,SPRITE_HORSEMAN,SOUND_SELECT1_HORSEMAN,SOUND_MOVE_HORSEMAN,SOUND_ATTACK_HORSEMAN,cradle
65,Elite Hover Infantry,0,5,19a,16d,28h,4f,28,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HOVER_INFANTRY_ELITE,SPRITE_HOVER_INFANTRY_ELITE,SOUND_SELECT1_HOVER_INFANTRY_ELITE,SOUND_MOVE_HOVER_INFANTRY_ELITE,SOUND_ATTACK_HOVER_INFANTRY_ELITE,cradle
66,Hover Infantry Militia,0,1,8a,9d,30h,4f,28,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HOVER_INFANTRY_MILITIA,SPRITE_HOVER_INFANTRY,SOUND_SELECT1_HOVER_INFANTRY_MILITIA,SOUND_MOVE_HOVER_INFANTRY_MILITIA,SOUND_ATTACK_HOVER_INFANTRY_MILITIA,cradle
68,Hypaspists,0,1,5a,4d,12h,1f,4,cradle:ADVANCE_BARRACKS,ICON_UNIT_HYPASPISTS,SPRITE_HYPASPISTS,SOUND_SELECT1_HYPASPISTS,SOUND_MOVE_HYPASPISTS,SOUND_ATTACK_HYPASPISTS,cradle
69,Elite Hypaspist,0,2,6a,5d,14h,1f,4,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HYPASPISTS_ELITE,SPRITE_HYPASPISTS_ELITE,SOUND_SELECT1_HYPASPISTS_ELITE,SOUND_MOVE_HYPASPISTS_ELITE,SOUND_ATTACK_HYPASPISTS_ELITE,cradle
70,Infantryman,0,1,9a,8d,18h,3f,11,cradle:ADVANCE_FLINTLOCK,ICON_UNIT_INFANTRYMAN,SPRITE_INFANTRYMAN,SOUND_SELECT1_INFANTRYMAN,SOUND_MOVE_INFANTRYMAN,SOUND_ATTACK_INFANTRYMAN,cradle
71,Elite Infantry,0,2,10a,9d,20h,3f,11,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_INFANTRYMAN_ELITE,SPRITE_INFANTRYMAN_ELITE,SOUND_SELECT1_INFANTRYMAN_ELITE,SOUND_MOVE_INFANTRYMAN_ELITE,SOUND_ATTACK_INFANTRYMAN_ELITE,cradle
72,Infantryman Militia,0,1,6a,7d,30h,3f,11,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_INFANTRYMAN_MILITIA,SPRITE_INFANTRYMAN,SOUND_SELECT1_INFANTRYMAN_MILITIA,SOUND_MOVE_INFANTRYMAN_MILITIA,SOUND_ATTACK_INFANTRYMAN_MILITIA,cradle
73,Infector,0,3,0a,2d,15h,1f,35,cradle:ADVANCE_BIO_WARFARE,ICON_UNIT_INFECTOR,SPRITE_INFECTOR,SOUND_SELECT1_INFECTOR,SOUND_MOVE_INFECTOR,SOUND_ATTACK_INFECTOR,cradle
76,Janissary,0,2,7a,6d,18h,2f,6,cradle:ADVANCE_CALIPHATE,ICON_UNIT_JANISSARY,SPRITE_JANISSARY,SOUND_SELECT1_JANISSARY,SOUND_MOVE_JANISSARY,SOUND_ATTACK_JANISSARY,cradle
77,Javelin Cavalry,0,2,3a,2d,10h,1f,2,cradle:ADVANCE_HORSE_RIDING,ICON_UNIT_JAVELIN_CAVALRY,SPRITE_JAVELIN_CAVALRY,SOUND_SELECT1_JAVELIN_CAVALRY,SOUND_MOVE_JAVELIN_CAVALRY,SOUND_ATTACK_JAVELIN_CAVALRY,cradle
78,King's Eye,0,2,0a,2d,10h,1f,13,cradle:ADVANCE_FEUDALISM,ICON_UNIT_KINGS_EYE,SPRITE_KINGS_EYE,SOUND_SELECT1_KINGS_EYE,SOUND_MOVE_KINGS_EYE,SOUND_ATTACK_KINGS_EYE,cradle
79,Knight,0,3,8a,5d,15h,2f,9,cradle:ADVANCE_CHIVALRY,ICON_UNIT_KNIGHT,SPRITE_KNIGHT,SOUND_SELECT1_KNIGHT,SOUND_MOVE_KNIGHT,SOUND_ATTACK_KNIGHT,cradle
82,Legal Team,0,3,0a,2d,10h,1f,19,cradle:ADVANCE_LEGAL_SYSTEM,ICON_UNIT_LEGAL_TEAM,SPRITE_LEGAL_TEAM,SOUND_SELECT1_LEGAL_TEAM,SOUND_MOVE_LEGAL_TEAM,SOUND_ATTACK_LEGAL_TEAM,cradle
84,Elite Legion,0,2,7a,6d,17h,2f,5,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_LEGION_ELITE,SPRITE_LEGION_ELITE,SOUND_SELECT1_LEGION_ELITE,SOUND_MOVE_LEGION_ELITE,SOUND_ATTACK_LEGION_ELITE,cradle
85,Legion Militia,0,1,4a,5d,30h,2f,5,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_LEGION_MILITIA,SPRITE_LEGION,SOUND_SELECT1_LEGION_MILITIA,SOUND_MOVE_LEGION_MILITIA,SOUND_ATTACK_LEGION_MILITIA,cradle
87,Longship,2,10,2a,2d,10h,1f,5,cradle:ADVANCE_OCEAN_FARING,ICON_UNIT_LONGSHIP,SPRITE_LONGSHIP,SOUND_SELECT1_LONGSHIP,SOUND_MOVE_LONGSHIP,SOUND_ATTACK_LONGSHIP,cradle
91,Man at Arms,0,1,7a,6d,16h,2f,6,cradle:ADVANCE_FEUDALISM,ICON_UNIT_MAN_AT_ARMS,SPRITE_MAN_AT_ARMS,SOUND_SELECT1_MAN_AT_ARMS,SOUND_MOVE_MAN_AT_ARMS,SOUND_ATTACK_MAN_AT_ARMS,cradle
92,Elite Man at Arms,0,2,8a,7d,18h,2f,6,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_MAN_AT_ARMS_ELITE,SPRITE_MAN_AT_ARMS_ELITE,SOUND_SELECT1_MAN_AT_ARMS_ELITE,SOUND_MOVE_MAN_AT_ARMS_ELITE,SOUND_ATTACK_MAN_AT_ARMS_ELITE,cradle
94,Elite Marine,0,4,15a,12d,25h,3f,17,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_MARINE_ELITE,SPRITE_MARINE_ELITE,SOUND_SELECT1_MARINE_ELITE,SOUND_MOVE_MARINE_ELITE,SOUND_ATTACK_MARINE_ELITE,cradle
95,Merchant Trader,0,1,0a,0d,10h,0f,8,cradle:ADVANCE_TRADE_GUILDS,ICON_UNIT_MERCHANT_TRADER,SPRITE_WARRIOR,SOUND_SELECT1_MERCHANT_TRADER,SOUND_MOVE_MERCHANT_TRADER,SOUND_ATTACK_MERCHANT_TRADER,cradle
99,Mounted Archer,0,4,3a,2d,10h,1f,5,cradle:ADVANCE_MOBILE_TACTICS,ICON_UNIT_MOUNTED_ARCHER,SPRITE_MOUNTED_ARCHER,SOUND_SELECT1_MOUNTED_ARCHER,SOUND_MOVE_MOUNTED_ARCHER,SOUND_ATTACK_MOUNTED_ARCHER,cradle
104,Onager,0,1,1a,1d,10h,2f,8,cradle:ADVANCE_SIEGE_WEAPONS,ICON_UNIT_ONAGER,SPRITE_ONAGER,SOUND_SELECT1_ONAGER,SOUND_MOVE_ONAGER,SOUND_ATTACK_ONAGER,cradle
105,Organizer,0,3,0a,2d,10h,1f,10,cradle:ADVANCE_ECO_RELIGION,ICON_UNIT_ORGANIZER,SPRITE_ORGANIZER,SOUND_SELECT1_ORGANIZER,SOUND_MOVE_ORGANIZER,SOUND_ATTACK_ORGANIZER,cradle
107,Patriarch,0,3,0a,2d,10h,1f,15,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_PATRIARCH,SPRITE_PATRIARCH,SOUND_SELECT1_PATRIARCH,SOUND_MOVE_PATRIARCH,SOUND_ATTACK_PATRIARCH,cradle
108,Pezhetairoi,0,2,5a,5d,15h,2f,5,cradle:ADVANCE_OLIGARCHY,ICON_UNIT_PEZHETEROI,SPRITE_PEZHETEROI,SOUND_SELECT1_PEZHETEROI,SOUND_MOVE_PEZHETEROI,SOUND_ATTACK_PEZHETEROI,cradle
110,Elite Pikeman,0,2,4a,5d,18h,2f,5,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_PIKEMEN_ELITE,SPRITE_PIKEMEN_ELITE,SOUND_SELECT1_PIKEMEN_ELITE,SOUND_MOVE_PIKEMEN_ELITE,SOUND_ATTACK_PIKEMEN_ELITE,cradle
111,Pikeman Militia,0,1,3a,6d,30h,2f,5,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_PIKEMEN_MILITIA,SPRITE_PIKEMEN,SOUND_SELECT1_PIKEMEN_MILITIA,SOUND_MOVE_PIKEMEN_MILITIA,SOUND_ATTACK_PIKEMEN_MILITIA,cradle
113,Plunder I,0,1,0a,1d,5h,1f,1,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_PLUNDER,SPRITE_PLUNDER,SOUND_SELECT1_PLUNDER,SOUND_MOVE_PLUNDER,SOUND_ATTACK_PLUNDER,cradle
114,Plunder II - Captives,0,1,0a,1d,5h,1f,2,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_PLUNDER_II,SPRITE_PLUNDER_II,SOUND_SELECT1_PLUNDER_II,SOUND_MOVE_PLUNDER_II,SOUND_ATTACK_PLUNDER_II,cradle
115,Plunder III,0,1,0a,1d,5h,1f,4,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_PLUNDER_III,SPRITE_PLUNDER_III,SOUND_SELECT1_PLUNDER_III,SOUND_MOVE_PLUNDER_III,SOUND_ATTACK_PLUNDER_III,cradle
116,Plunder IV,0,2,0a,1d,5h,1f,6,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_PLUNDER_IV,SPRITE_PLUNDER_IV,SOUND_SELECT1_PLUNDER_IV,SOUND_MOVE_PLUNDER_IV,SOUND_ATTACK_PLUNDER_IV,cradle
117,Praetorian,0,2,6a,6d,18h,2f,6,cradle:ADVANCE_DICTATORSHIP,ICON_UNIT_PRAETORIAN,SPRITE_PRAETORIAN,SOUND_SELECT1_PRAETORIAN,SOUND_MOVE_PRAETORIAN,SOUND_ATTACK_PRAETORIAN,cradle
118,Prophet,0,2,0a,2d,10h,1f,5,Lab,ICON_UNIT_PROPHET,SPRITE_PROPHET,SOUND_SELECT1_PROPHET,SOUND_MOVE_PROPHET,SOUND_ATTACK_PROPHET,cradle
119,Quinquereme,2,8,5a,3d,15h,1f,6,cradle:ADVANCE_HULL_MAKING,ICON_UNIT_QUINQUEREME,SPRITE_QUINQUEREME,SOUND_SELECT1_QUINQUEREME,SOUND_MOVE_QUINQUEREME,SOUND_ATTACK_QUINQUEREME,cradle
120,Raider,0,4,3a,3d,10h,1f,9,cradle:ADVANCE_STIRRUP,ICON_UNIT_RAIDER,SPRITE_RAIDER,SOUND_SELECT1_RAIDER,SOUND_MOVE_RAIDER,SOUND_ATTACK_RAIDER,cradle
122,Reed Boat,2,4,1a,1d,10h,1f,1,cradle:ADVANCE_SHIP_BUILDING,ICON_UNIT_REED_BOAT,SPRITE_REED_BOAT,SOUND_SELECT1_REED_BOAT,SOUND_MOVE_REED_BOAT,SOUND_ATTACK_REED_BOAT,cradle
124,Scout Sub,2,16,5a,5d,15h,3f,28,cradle:ADVANCE_LIQUID_BREATHING_APPARATUS,ICON_UNIT_SCOUT_SUB,SPRITE_SCOUT_SUB,SOUND_SELECT1_SCOUT_SUB,SOUND_MOVE_SCOUT_SUB,SOUND_ATTACK_SCOUT_SUB,cradle
127,Settler/Colonist,0,3,0a,3d,10h,1f,20,cradle:ADVANCE_TRIBUNAL_EMPIRE,ICON_UNIT_SETTLER,SPRITE_SETTLER,SOUND_SELECT1_SETTLER,SOUND_MOVE_SETTLER,SOUND_ATTACK_SETTLER,cradle
128,Ship of the Line,2,10,8a,5d,15h,3f,14,cradle:ADVANCE_NAVAL_TACTICS,ICON_UNIT_SHIP_OF_THE_LINE,SPRITE_SHIP_OF_THE_LINE,SOUND_SELECT1_SHIP_OF_THE_LINE,SOUND_MOVE_SHIP_OF_THE_LINE,SOUND_ATTACK_SHIP_OF_THE_LINE,cradle
129,Slaver,0,2,0a,2d,10h,1f,4,cradle:ADVANCE_SLAVE_LABOR,ICON_UNIT_SLAVER,SPRITE_SLAVER,SOUND_SELECT1_SLAVER,SOUND_MOVE_SLAVER,SOUND_ATTACK_SLAVER,cradle
130,Slave Trader,0,2,0a,2d,10h,1f,6,cradle:ADVANCE_CLASSICAL_EDUCATION,ICON_UNIT_SLAVE_TRADER,SPRITE_SLAVE_TRADER,SOUND_SELECT1_SLAVE_TRADER,SOUND_MOVE_SLAVE_TRADER,SOUND_ATTACK_SLAVE_TRADER,cradle
131,Slinger,0,1,1a,1d,8h,1f,2,cradle:ADVANCE_PROJECTILE_WEAPONS,ICON_UNIT_SLINGER,SPRITE_SLINGER,SOUND_SELECT1_SLINGER,SOUND_MOVE_SLINGER,SOUND_ATTACK_SLINGER,cradle
134,Spearman,0,1,2a,3d,10h,1f,1,cradle:ADVANCE_TOOLMAKING,ICON_UNIT_SPEARMAN,SPRITE_SPEARMAN,SOUND_SELECT1_SPEARMAN,SOUND_MOVE_SPEARMAN,SOUND_ATTACK_SPEARMAN,cradle
135,Elite Spearman,0,2,3a,4d,12h,1f,1,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_SPEARMAN_ELITE,SPRITE_SPEARMAN_ELITE,SOUND_SELECT1_SPEARMAN_ELITE,SOUND_MOVE_SPEARMAN_ELITE,SOUND_ATTACK_SPEARMAN_ELITE,cradle
136,Spearman Militia,0,1,2a,3d,40h,1f,1,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_SPEARMAN_MILITIA,SPRITE_SPEARMAN,SOUND_SELECT1_SPEARMAN_MILITIA,SOUND_MOVE_SPEARMAN_MILITIA,SOUND_ATTACK_SPEARMAN_MILITIA,cradle
147,Teutonic Knight,0,3,8a,4d,15h,2f,6,cradle:ADVANCE_THEOLOGY,ICON_UNIT_TEUTONIC_KNIGHT,SPRITE_TEUTONIC_KNIGHT,SOUND_SELECT1_TEUTONIC_KNIGHT,SOUND_MOVE_TEUTONIC_KNIGHT,SOUND_ATTACK_TEUTONIC_KNIGHT,cradle
148,Trebuchet,0,1,1a,1d,10h,2f,9,cradle:ADVANCE_GREEK_FIRE,ICON_UNIT_TREBUCHET,SPRITE_TREBUCHET,SOUND_SELECT1_TREBUCHET,SOUND_MOVE_TREBUCHET,SOUND_ATTACK_TREBUCHET,cradle
154,Alexander the Great,0,3,5a,5d,22h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_ALEXANDER_THE_GREAT,SPRITE_ALEXANDER_THE_GREAT,SOUND_SELECT1_ALEXANDER_THE_GREAT,SOUND_MOVE_ALEXANDER_THE_GREAT,SOUND_ATTACK_ALEXANDER_THE_GREAT,cradle
155,Genghis,0,5,9a,8d,18h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_GHENGIS,SPRITE_GHENGIS,SOUND_SELECT1_GHENGIS,SOUND_MOVE_GHENGIS,SOUND_ATTACK_GHENGIS,cradle
156,Sargon,0,3,5a,3d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_SARGON,SPRITE_SARGON,SOUND_SELECT1_SARGON,SOUND_MOVE_SARGON,SOUND_ATTACK_SARGON,cradle
157,Hannibal,0,4,5a,5d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HANNIBAL,SPRITE_HANNIBAL,SOUND_SELECT1_HANNIBAL,SOUND_MOVE_HANNIBAL,SOUND_ATTACK_HANNIBAL,cradle
158,Caesar,0,3,5a,6d,22h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_CAESAR,SPRITE_CAESAR,SOUND_SELECT1_CAESAR,SOUND_MOVE_CAESAR,SOUND_ATTACK_CAESAR,cradle
159,Attila,0,5,8a,6d,18h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_ATILLA,SPRITE_ATILLA,SOUND_SELECT1_ATILLA,SOUND_MOVE_ATILLA,SOUND_ATTACK_ATILLA,cradle
160,Saladin,0,4,6a,8d,18h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_SALADIN,SPRITE_SALADIN,SOUND_SELECT1_SALADIN,SOUND_MOVE_SALADIN,SOUND_ATTACK_SALADIN,cradle
161,Charlemagne,0,4,9a,6d,18h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_CHARLEMAGNE,SPRITE_CHARLEMAGNE,SOUND_SELECT1_CHARLEMAGNE,SOUND_MOVE_CHARLEMAGNE,SOUND_ATTACK_CHARLEMAGNE,cradle
162,Hernan Cortes,0,4,9a,6d,15h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HERNAN_CORTES,SPRITE_HERNAN_CORTES,SOUND_SELECT1_HERNAN_CORTES,SOUND_MOVE_HERNAN_CORTES,SOUND_ATTACK_HERNAN_CORTES,cradle
163,Ulysses Grant,0,5,9a,6d,15h,4f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_ULYSSES_GRANT,SPRITE_ULYSSES_GRANT,SOUND_SELECT1_ULYSSES_GRANT,SOUND_MOVE_ULYSSES_GRANT,SOUND_ATTACK_ULYSSES_GRANT,cradle
164,Gilgamesh,0,3,5a,3d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_GILGAMESH,SPRITE_GREAT_KING,SOUND_SELECT1_GILGAMESH,SOUND_MOVE_GILGAMESH,SOUND_ATTACK_GILGAMESH,cradle
165,Field Marshall,0,4,9a,6d,15h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_FIELD_MARSHALL,SPRITE_FIELD_MARSHALL,SOUND_SELECT1_FIELD_MARSHALL,SOUND_MOVE_FIELD_MARSHALL,SOUND_ATTACK_FIELD_MARSHALL,cradle
166,General,0,5,11a,8d,18h,4f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_GENERAL,SPRITE_GENERAL,SOUND_SELECT1_GENERAL,SOUND_MOVE_GENERAL,SOUND_ATTACK_GENERAL,cradle
168,Norman Schwarzkopf,0,7,14a,12d,20h,4f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_NORMAN_SCHWARZKOPF,SPRITE_NORMAN_SCHWARZKOPF,SOUND_SELECT1_NORMAN_SCHWARZKOPF,SOUND_MOVE_NORMAN_SCHWARZKOPF,SOUND_ATTACK_NORMAN_SCHWARZKOPF,cradle
169,David,0,2,4a,3d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_DAVID,SPRITE_DAVID,SOUND_SELECT1_DAVID,SOUND_MOVE_DAVID,SOUND_ATTACK_DAVID,cradle
170,Hammurabi,0,2,6a,6d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HAMMURABI,SPRITE_HAMMURABI,SOUND_SELECT1_HAMMURABI,SOUND_MOVE_HAMMURABI,SOUND_ATTACK_HAMMURABI,cradle
171,Khalid ibn al-Walid,0,4,8a,6d,18h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_KHALID,SPRITE_KHALID,SOUND_SELECT1_KHALID,SOUND_MOVE_KHALID,SOUND_ATTACK_KHALID,cradle
172,Khufu,0,2,6a,6d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_KHUFU,SPRITE_KHUFU,SOUND_SELECT1_KHUFU,SOUND_MOVE_KHUFU,SOUND_ATTACK_KHUFU,cradle
173,Leonidas,0,2,6a,9d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_LEONIDAS,SPRITE_LEONIDAS,SOUND_SELECT1_LEONIDAS,SOUND_MOVE_LEONIDAS,SOUND_ATTACK_LEONIDAS,cradle
174,Marius,0,3,8a,6d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_MARIUS,SPRITE_MARIUS,SOUND_SELECT1_MARIUS,SOUND_MOVE_MARIUS,SOUND_ATTACK_MARIUS,cradle
175,Nebuchadnezzar,0,3,7a,6d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_NEBUCHADNEZZER,SPRITE_NEBUCHADNEZZER,SOUND_SELECT1_NEBUCHADNEZZER,SOUND_MOVE_NEBUCHADNEZZER,SOUND_ATTACK_NEBUCHADNEZZER,cradle
176,Pacal,0,2,8a,8d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_PACAL,SPRITE_PACAL,SOUND_SELECT1_PACAL,SOUND_MOVE_PACAL,SOUND_ATTACK_PACAL,cradle
177,Ramesses,0,2,3a,3d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_RAMSES,SPRITE_RAMSES,SOUND_SELECT1_RAMSES,SOUND_MOVE_RAMSES,SOUND_ATTACK_RAMSES,cradle
178,Spartacus,0,3,7a,6d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_SPARTACUS,SPRITE_SPARTACUS,SOUND_SELECT1_SPARTACUS,SOUND_MOVE_SPARTACUS,SOUND_ATTACK_SPARTACUS,cradle
179,Sun Tzu,0,2,7a,8d,18h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_SUN_TZU,SPRITE_SUN_TZU,SOUND_SELECT1_SUN_TZU,SOUND_MOVE_SUN_TZU,SOUND_ATTACK_SUN_TZU,cradle
3,Man At Arms Militia,0,1,6a,6d,16h,2f,6,aom:ADVANCE_HEXTAPUL,ICON_UNIT_MAN_AT_ARMS_MILITIA,SPRITE_MAN_AT_ARMS,SOUND_SELECT1_MAN_AT_ARMS_MILITIA,SOUND_MOVE_MAN_AT_ARMS_MILITIA,SOUND_ATTACK_MAN_AT_ARMS_MILITIA,aom
8,Advanced Warrior,0,1,4a,2d,10h,1f,2,aom:ADVANCE_TRIBES,ICON_UNIT_ADVANCED_WARRIOR,SPRITE_ADVANCED_WARRIOR,SOUND_SELECT1_ADVANCED_WARRIOR,SOUND_MOVE_ADVANCED_WARRIOR,SOUND_ATTACK_ADVANCED_WARRIOR,aom
13,At Gun,0,2,11a,14d,22h,3f,18,aom:ADVANCE_MILITARY_TRADITION,ICON_UNIT_AT_GUN,SPRITE_AT_GUN,SOUND_SELECT1_AT_GUN,SOUND_MOVE_AT_GUN,SOUND_ATTACK_AT_GUN,aom
15,Auxilliary Legion,0,2,5a,4d,12h,1f,5,aom:ADVANCE_IRON_WORKING,ICON_UNIT_AUXILLIARY_LEGION,SPRITE_AUXILLIARY_LEGION,SOUND_SELECT1_AUXILLIARY_LEGION,SOUND_MOVE_AUXILLIARY_LEGION,SOUND_ATTACK_AUXILLIARY_LEGION,aom
18,Belfroi,0,1,2a,2d,10h,1f,5,PT,ICON_UNIT_BELFROI,SPRITE_BELFROI,SOUND_SELECT1_BELFROI,SOUND_MOVE_BELFROI,SOUND_ATTACK_BELFROI,aom
26,Carrack,2,4,0a,2d,10h,1f,9,aom:ADVANCE_OCEAN_FARING,ICON_UNIT_CARRACK,SPRITE_GALLEY,SOUND_SELECT1_CARRACK,SOUND_MOVE_CARRACK,SOUND_ATTACK_CARRACK,aom
31,Chariot Archer,0,2,3a,2d,12h,1f,4,aom:ADVANCE_ARISTOCRACY,ICON_UNIT_CHARIOT_ARCHER,SPRITE_CHARIOT_ARCHER,SOUND_SELECT1_CHARIOT_ARCHER,SOUND_MOVE_CHARIOT_ARCHER,SOUND_ATTACK_CHARIOT_ARCHER,aom
37,Conscript Legion,0,1,4a,5d,13h,2f,3,aom:ADVANCE_IRON_WORKING,ICON_UNIT_CONSCRIPT_LEGION,SPRITE_CONSCRIPT_LEGION,SOUND_SELECT1_CONSCRIPT_LEGION,SOUND_MOVE_CONSCRIPT_LEGION,SOUND_ATTACK_CONSCRIPT_LEGION,aom
38,Conscript Swordsman,0,1,3a,2d,9h,1f,1,aom:ADVANCE_COPPER_SMELTING,ICON_UNIT_CONSCRIPT_SWORDSMAN,SPRITE_CONSCRIPT_SWORDSMAN,SOUND_SELECT1_CONSCRIPT_SWORDSMAN,SOUND_MOVE_CONSCRIPT_SWORDSMAN,SOUND_ATTACK_CONSCRIPT_SWORDSMAN,aom
39,Coracle,2,2,1a,2d,10h,1f,1,aom:ADVANCE_SHIP_BUILDING,ICON_UNIT_CORACLE,SPRITE_CORACLE,SOUND_SELECT1_CORACLE,SOUND_MOVE_CORACLE,SOUND_ATTACK_CORACLE,aom
50,Eagle Archer,0,2,4a,4d,12h,2f,6,PT,ICON_UNIT_EAGLE_ARCHER,SPRITE_EAGLE_ARCHER,SOUND_SELECT1_EAGLE_ARCHER,SOUND_MOVE_EAGLE_ARCHER,SOUND_ATTACK_EAGLE_ARCHER,aom
51,Eagle Warrior,0,2,6a,5d,15h,2f,6,PT,ICON_UNIT_EAGLE_WARRIOR,SPRITE_EAGLE_WARRIOR,SOUND_SELECT1_EAGLE_WARRIOR,SOUND_MOVE_EAGLE_WARRIOR,SOUND_ATTACK_EAGLE_WARRIOR,aom
54,Elephant Warrior,0,2,5a,3d,13h,1f,4,aom:ADVANCE_OLIGARCHY,ICON_UNIT_ELEPHANT_WARRIOR,SPRITE_ELEPHANT_WARRIOR,SOUND_SELECT1_ELEPHANT_WARRIOR,SOUND_MOVE_ELEPHANT_WARRIOR,SOUND_ATTACK_ELEPHANT_WARRIOR,aom
57,Feudal Cavalry,0,3,8a,5d,14h,2f,9,aom:ADVANCE_CHIVALRY,ICON_UNIT_FEUDAL_CAVALRY,SPRITE_FEUDAL_CAVALRY,SOUND_SELECT1_FEUDAL_CAVALRY,SOUND_MOVE_FEUDAL_CAVALRY,SOUND_ATTACK_FEUDAL_CAVALRY,aom
58,Feudal Infantry,0,1,6a,5d,13h,2f,5,aom:ADVANCE_DARK_AGES,ICON_UNIT_FEUDAL_INFANTRY,SPRITE_FEUDAL_INFANTRY,SOUND_SELECT1_FEUDAL_INFANTRY,SOUND_MOVE_FEUDAL_INFANTRY,SOUND_ATTACK_FEUDAL_INFANTRY,aom
66,Heavy Spearman,0,1,2a,4d,11h,1f,2,aom:ADVANCE_PLOUGH,ICON_UNIT_HEAVY_SPEARMAN,SPRITE_HEAVY_SPEARMAN,SOUND_SELECT1_HEAVY_SPEARMAN,SOUND_MOVE_HEAVY_SPEARMAN,SOUND_ATTACK_HEAVY_SPEARMAN,aom
67,Heavy Swordsman,0,1,4a,3d,10h,1f,2,aom:ADVANCE_COPPER_SMELTING,ICON_UNIT_HEAVY_SWORDSMAN,SPRITE_HEAVY_SWORDSMAN,SOUND_SELECT1_HEAVY_SWORDSMAN,SOUND_MOVE_HEAVY_SWORDSMAN,SOUND_ATTACK_HEAVY_SWORDSMAN,aom
68,Heptireme,2,4,5a,3d,15h,2f,6,aom:ADVANCE_HULL_MAKING,ICON_UNIT_HEPTIREME,SPRITE_HEPTIREME,SOUND_SELECT1_HEPTIREME,SOUND_MOVE_HEPTIREME,SOUND_ATTACK_HEPTIREME,aom
